sku,producto,tipo,marca,unidad,precio_venta_referencia,costo_referencia,etiqueta_nuevo
SKU-8697FBECCC,Abaco,Juegos didacticos,,unidad,0.0,0.0,true
SKU-174A32F486,Acuarelas Grandes,Tempera,,Unidad,7.0,4.0,false
SKU-286FE9445F,Acuarelas pequeñas,Tempera,Arteza,Unidad,6.0,3.5,false
SKU-AAD11162D5,adorno niño selvatico,,,unidad,0.0,0.0,true
SKU-E784193A9C,adornos para el dia del padre,,,unidad,0.0,0.0,true
SKU-FB6932B48B,Baja Lengua  de color grande,,,Unidad,2.0,0.5833,true
SKU-7A82393C55,Baja Lengua - Blanco,,,Unidad,1.0,0.4167,true
SKU-C756F39052,Baja Lengua de color pequeño,,,Unidad,1.5,0.6,false
SKU-CC77E1CB6E,Banderas,,,Unidad,0.0,0.0,false
SKU-E082FFFBDB,Base 10,Juegos didacticos,,unidad,0.0,0.0,true
SKU-B8D34F9520,Batisoga grande,,,Unidad,3.5,2.1636,false
SKU-5B727C91A4,Batisoga pequeño,,,Unidad,2.5,1.5,false
SKU-2B3E112B79,Betun Marron Grande,,,Unidad,4.0,2.0,false
SKU-7CBD13501A,Betun Marron Pequeño,,,Unidad,3.5,1.5,false
SKU-9DACA2AC67,betun negro mediano,,,unidad,0.0,0.0,true
SKU-6B0F82BDFF,bloques,Juegos didacticos,,unidad,0.0,0.0,true
SKU-CB9437A81C,"bolson de l,ona",,,unidad,0.0,0.0,true
SKU-83CD5D38B1,Borrador Aval x 20,Borrador,Oval,unidad,0.0,0.0,true
SKU-384706C8BB,Borrador Aval x 30,Borrador,Oval,unidad,0.0,0.0,true
SKU-20D4B162C0,Borrador LA-2O,Borrador,Layconsa,Unidad,1.0,0.55,false
SKU-47D72EF215,Borrador LA-40 bicolor,Borrador,Layconsa,Unidad,1.0,0.5,false
SKU-25611AAAAD,Borrador layconsa bicolo x50,Borrador,Layconsa,unidad,0.0,0.0,true
SKU-B6B52CD788,borradores patita,,,unidad,0.0,0.0,true
SKU-F7DA7DEB25,borradores transparentes,,,unidad,0.0,0.0,true
SKU-71703659EC,"Botellas de Temperas (Amarillo, rojo, Azul) -  (Rojo, azul,  verde, amarillo, negro, blanco)",Tempera,Layconsa,Unidad,7.0,4.5,true
SKU-A39A5CB534,Botones,,,Unidad,1.0,0.6667,false
SKU-B1DE97BF6F,brocheta intermedia,,,unidad,0.0,0.0,true
SKU-120B36A5F6,Cajitas de Grampa,Engrampador,,Unidad,1.5,0.8,false
SKU-8F27ACC7C0,Camion Ciguena3983 A,Juguetes,,Unidad,12.0,8.0,false
SKU-6F46528248,Camion con toro CMN12,Juguetes,,Unidad,12.0,7.0,false
SKU-1B4019FFD0,carton cartulina,,,unidad,0.0,0.0,true
SKU-088F490747,Cartuchera Forta,Cartuchera,,Unidad,10.0,7.0,false
SKU-7FE37C8EBE,Cartuchera Mike Crack,Cartuchera,,Unidad,10.0,7.0,false
SKU-6AD4414B14,Cartuchera surtido cuero,,,unidad,0.0,0.0,true
SKU-488624C093,cartucheras,,,unidad,0.0,0.0,true
SKU-9F843A3ED5,Cartucheta Simple,Cartuchera,,Unidad,0.0,0.0,false
SKU-14DDD5EBC1,Cartulina a colores,Papel,,Unidad,1.0,0.4191,false
SKU-87FB5C45C1,Cartulina blanca,,,unidad,0.0,0.0,true
SKU-EC244CF0A7,Cartulina Fosforesente,Papel,,Unidad,4.5,2.5,false
