supplier_name,supplier_code,purchase_batch,product_sku,product_name,unit,qty,cost_unit,total_cost,etiqueta_nuevo
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-81A994DEC0,Lapiz Chequeo Rojo,Docena,6.0,6.0,36.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-02B3887529,Lapiz Bicolor,Docena,9.0,10.0,90.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-32111CF5F0,Lapiz Chequeo Rojo,Docena,9.0,7.0,63.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-9B7EDEA31E,Lapiz 2B,Docena,4.0,6.0,24.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-308DF87D2B,Lapiz 2B Titan,Docena,1.0,9.0,9.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-8FC03EDBA8,Lapiz Grazo Negro,Unidad,7.0,2.0,14.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-ACD539DCF8,Lapiz Semi Negro,Unidad,9.0,2.5,22.5,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-90944B7E8F,Lapiz tecnico 6B,Docena,1.0,12.0,12.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-4985AB403E,Lapiz Punsonez,Unidad,9.0,0.28,2.52,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-47649F38F3,Lapiz Bicolor,Unidad,32.0,0.58125,18.6,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-FEE239E19B,Plumon Acrilico L-123,Docena,9.0,15.0,135.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-7AA172D62E,Plumon Jumbo 123,Docena,2.0,37.5,75.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-2606E9183E,Plumon Pizzarra,Docena,2.0,24.0,48.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-68D64EF0A8,Plumon 2.3mm,Docena,1.0,15.0,15.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-54BDA3B77E,Plumones Marcador Fibre Tips - 12 uni,Unidad,6.0,3.166667,19.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-7AA60686F3,Plumones Marcador 6 uni -,Unidad,2.0,4.0,8.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-7FE37C8EBE,Cartuchera Mike Crack,Unidad,3.0,7.0,21.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-088F490747,Cartuchera Forta,Unidad,6.0,7.0,42.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-9F843A3ED5,Cartucheta Simple,Unidad,11.0,0.0,0.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-EE9347CD6F,Estuches de Plastico,Unidad,5.0,6.0,30.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-403887F2ED,Saca Punta con Deposito,Unidad,3.0,2.0,6.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-3F04396584,Saca Punta con M-207,Unidad,118.0,0.254237,30.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-21586425F2,Saca Punta Metal,Unidad,15.0,0.746667,11.2,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-D8FF390C71,Saca Punta Metal Doble,Unidad,19.0,1.8,34.2,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-35AF7B573B,Saca Punta con Deposito 8917,Docena,1.0,12.0,12.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-D417DACFAA,Saca Punta con Deposito,Docena,1.0,12.0,12.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-EAF5D42FCB,Saca Punta con Deposito,Docena,1.0,12.0,12.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-A0151E5DAD,Saca Punta,Cajitas,1.0,16.0,16.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-937E9BF695,Saca Punta M-557,Cajitas,2.0,16.0,32.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-596614038E,Tarjadores,Unidad,18.0,0.5,9.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-A292B4DE9C,Toalla sin diseño,Unidad,9.0,1.5,13.5,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-FA80AA5B55,Toalla con diseño,Unidad,4.0,3.5,14.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-0F68E2EC13,Micas A4,Sobre,1.0,3.8,3.8,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-1A61EF5307,Meseros Personales - Niños,Unidad,7.0,1.5,10.5,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-5AF26D5396,Sobre Manila A4 premium,Paquete,9.0,11.111111,100.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-86FCEA2F11,Forro Vinifan A4,Unidad,4.0,4.0,16.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-610A957481,Forro Vinifan Grande OM,Unidad,2.0,7.0,14.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-CC0A8E99BA,Forro vinifan A4,Unidad,14.0,3.5,49.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-5CC706071A,Forro vinifan A4,Unidad,9.0,2.0,18.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-826C40E118,Corrector Oval de 2 pares,Unidad,29.0,0.62069,18.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-CE0CB129E5,Corrector 9ML,Docena,1.0,22.0,22.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-657537C0BB,Resaltador,Unidad,18.0,1.333333,24.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-E6ECA4BB2D,Goma Liquida Mar David 60gr,Unidad,9.0,0.911111,8.2,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-F901C51CE7,Goma en barra 21Gr,Unidad,15.0,1.8,27.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-D740B5A41D,Goma en barra 40Gr,Unidad,3.0,4.0,12.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-20D4B162C0,Borrador LA-2O,Unidad,16.0,0.55,8.8,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-47D72EF215,Borrador LA-40 bicolor,Unidad,15.0,0.5,7.5,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-7A82393C55,Baja Lengua - Blanco,Sobre,12.0,0.416667,5.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-FB6932B48B,Baja Lengua  de color grande,Unidad,6.0,0.583333,3.5,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-C756F39052,Baja Lengua de color pequeño,Unidad,35.0,0.6,21.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-4C5B02D17F,Pintura Brillo Escarchado,Unidad,36.0,0.0,0.0,
Tania Yucra,SUP-TANIA-YUCRA,COMPRA-HOJA1-TANIA-YUCRA,SKU-71703659EC,"Botellas de Temperas (Amarillo, rojo, Azul) -  (Rojo, azul,  verde, amarillo, negro, blanco)",Unidad,18.0,4.5,81.0,
