excel_sheet,excel_row,id_articulo_excel,etiqueta_nuevo,tipo,marca,nombre,cantidad_count,unidad_medida,precio_inicial,costo_total,precio_por_unidad,precio_venta_sugerido
Hoja 4,2,,False,Lapiz,Artesco,Lapiz Chequeo Rojo,6.0,Docena,6.0,36.0,0.5,1.0
Hoja 4,3,,False,Lapiz,Artesco,Lapiz Bicolor,9.0,Docena,10.0,90.0,0.8333333333,1.5
Hoja 4,4,,False,Lapiz,Layconsa,Lapiz Chequeo Rojo,9.0,Docena,7.0,63.0,0.5833333333,1.5
Hoja 4,5,,False,Lapiz,Vikingo,Lapiz 2B,4.0,Docena,6.0,24.0,0.5,1.0
Hoja 4,6,NUEVO,True,Lapiz,Faber Castell,Lapiz 2B Titan,1.0,Docena,9.0,9.0,0.75,1.5
Hoja 4,7,NUEVO,True,Lapiz,Layconsa,Lapiz Grazo Negro,7.0,Unidad,2.0,14.0,2.0,3.5
Hoja 4,8,NUEVO,True,Lapiz,Layconsa,Lapiz Semi Negro,9.0,Unidad,2.5,22.5,2.5,4.5
Hoja 4,9,NUEVO,True,Lapiz,Layconsa,Lapiz tecnico 6B,1.0,Docena,12.0,12.0,1.0,1.5
Hoja 4,10,NUEVO,True,Lapiz,,Lapiz Punsonez,9.0,Unidad,0.28,2.52,0.28,0.0
Hoja 4,11,,False,Lapiz,Layconsa,Lapiz Bicolor,32.0,Unidad,0.58125,18.6,0.58125,1.0
Hoja 4,12,,False,Plumon,Layconsa,Plumon Acrilico L-123,9.0,Docena,15.0,135.0,1.25,2.5
Hoja 4,13,,False,Plumon,Faber Castell,Plumon Jumbo 123,2.0,Docena,37.5,75.0,3.125,5.0
Hoja 4,14,,False,Plumon,Arteza,Plumon Pizzarra,2.0,Docena,24.0,48.0,2.0,0.0
Hoja 4,15,,False,Plumon,Faber Castell,Plumon 2.3mm,1.0,Docena,15.0,15.0,1.25,2.5
Hoja 4,16,,False,Plumon,Faber Castell,Plumones Marcador Fibre Tips - 12 uni,6.0,Unidad,3.166666667,19.0,3.166666667,5.0
Hoja 4,17,,False,Plumon,Faber Castell,Plumones Marcador 6 uni -,2.0,Unidad,4.0,8.0,4.0,5.0
Hoja 4,18,,False,Cartuchera,,Cartuchera Mike Crack,3.0,Unidad,7.0,21.0,7.0,10.0
Hoja 4,19,,False,Cartuchera,,Cartuchera Forta,6.0,Unidad,7.0,42.0,7.0,12.0
Hoja 4,20,,False,Cartuchera,,Cartucheta Simple,11.0,Unidad,0.0,0.0,0.0,0.0
Hoja 4,21,,False,Cartuchera,,Estuches de Plastico,5.0,Unidad,6.0,30.0,6.0,7.0
Hoja 4,22,,False,Saca Punta,Artesco,Saca Punta con Deposito,3.0,Unidad,2.0,6.0,2.0,3.5
Hoja 4,23,,False,Saca Punta,,Saca Punta con M-207,118.0,Unidad,0.2542372881,30.0,0.2542372881,0.5
Hoja 4,24,,False,Saca Punta,Artesco,Saca Punta Metal,15.0,Unidad,0.7466666667,11.2,0.7466666667,1.5
Hoja 4,25,,False,Saca Punta,Artesco,Saca Punta Metal Doble,19.0,Unidad,1.8,34.2,1.8,2.5
Hoja 4,26,,False,Saca Punta,Relampago,Saca Punta con Deposito 8917,1.0,Docena,12.0,12.0,1.0,1.5
Hoja 4,27,,False,Saca Punta,Picaso,Saca Punta con Deposito,1.0,Docena,12.0,12.0,1.0,1.5
Hoja 4,28,,False,Saca Punta,Oval,Saca Punta con Deposito,1.0,Docena,12.0,12.0,1.0,2.0
Hoja 4,29,,False,Saca Punta,Vinifan,Saca Punta,1.0,Cajitas,16.0,16.0,0.6666666667,0.0
Hoja 4,30,,False,Saca Punta,Artesco,Saca Punta M-557,2.0,Cajitas,16.0,32.0,0.6666666667,2.0
Hoja 4,31,,False,Saca Punta,,Tarjadores,18.0,Unidad,0.5,9.0,0.5,0.0
Hoja 4,32,NUEVO,True,Toallas,,Toalla sin diseño,9.0,Unidad,1.5,13.5,1.5,3.0
Hoja 4,33,NUEVO,True,Toallas,,Toalla con diseño,4.0,Unidad,3.5,14.0,3.5,5.5
Hoja 4,34,NUEVO,True,,Artesco,Micas A4,1.0,Sobre,3.8,3.8,0.38,1.0
Hoja 4,35,,False,,,Meseros Personales - Niños,7.0,Unidad,1.5,10.5,1.5,2.5
Hoja 4,36,,False,,,Sobre Manila A4 premium,9.0,Paquete,11.11111111,100.0,0.4444444444,1.0
Hoja 4,37,,False,Forro Vinifan,Vinifan,Forro Vinifan A4,4.0,Unidad,4.0,16.0,4.0,7.0
Hoja 4,38,,False,Forro Vinifan,Perufan,Forro Vinifan Grande OM,2.0,Unidad,7.0,14.0,7.0,9.0
Hoja 4,39,,False,Forro Vinifan,Perufan,Forro vinifan A4,14.0,Unidad,3.5,49.0,3.5,4.5
Hoja 4,40,,False,Forro Vinifan,Forrofan,Forro vinifan A4,9.0,Unidad,2.0,18.0,2.0,3.5
Hoja 4,41,,False,Corector,Oval,Corrector Oval de 2 pares,29.0,Unidad,0.6206896552,18.0,0.6206896552,2.0
Hoja 4,42,,False,Corector,Faber Castell,Corrector 9ML,1.0,Docena,22.0,22.0,1.833333333,2.5
Hoja 4,43,,False,,,Resaltador,18.0,Unidad,1.333333333,24.0,1.333333333,2.5
Hoja 4,44,,False,Goma,,Goma Liquida Mar David 60gr,9.0,Unidad,0.9111111111,8.2,0.9111111111,1.5
Hoja 4,45,,False,Goma,Layconsa,Goma en barra 21Gr,15.0,Unidad,1.8,27.0,1.8,3.5
Hoja 4,46,,False,Goma,Faber Castell,Goma en barra 40Gr,3.0,Unidad,4.0,12.0,4.0,5.0
Hoja 4,47,,False,Borrador,Layconsa,Borrador LA-2O,16.0,Unidad,0.55,8.8,0.55,1.0
Hoja 4,48,,False,Borrador,Layconsa,Borrador LA-40 bicolor,15.0,Unidad,0.5,7.5,0.5,1.0
Hoja 4,49,,False,,,Baja Lengua - Blanco,10.0,Sobre,0.5,5.0,0.5,1.0
Hoja 4,50,NUEVO,True,,,Baja Lengua  de color grande,6.0,Unidad,0.5833333333,3.5,0.5833333333,2.0
Hoja 4,51,,False,,,Baja Lengua de color pequeño,35.0,Unidad,0.6,21.0,0.6,1.5
Hoja 4,52,,False,Tempera,,Pintura Brillo Escarchado,36.0,Unidad,0.0,0.0,0.0,0.0
Hoja 4,53,NUEVO,True,Tempera,Layconsa,"Botellas de Temperas (Amarillo, rojo, Azul) -  (Rojo, azul,  verde, amarillo, negro, blanco)",18.0,Unidad,4.5,81.0,4.5,7.0
Hoja 4,54,NUEVO,True,Tempera,Layconsa,Temperas x7,9.0,Cajas,5.0,45.0,5.0,7.0
Hoja 4,55,,False,Tempera,,Acuarelas Grandes,4.0,Unidad,4.0,16.0,4.0,8.0
Hoja 4,56,,False,Tempera,Arteza,Acuarelas pequeñas,3.0,Unidad,3.5,10.5,3.5,6.0
Hoja 4,57,,False,Lapicero,Faber Castell,Lapicero Trilux Negro-032,1.0,Cajitas,22.0,22.0,0.44,1.0
Hoja 4,58,,False,Lapicero,Faber Castell,Lapicero Trilux Rojo-032,1.0,Cajitas,22.0,22.0,0.44,1.0
Hoja 4,59,,False,Lapicero,Faber Castell,Lapicero Trilux-031,46.0,Unidad,0.4782608696,22.0,0.4782608696,1.0
Hoja 4,60,,False,Lapicero,Faber Castell,Lapicero Trilux Azul-032,30.0,Unidad,0.44,13.2,0.44,1.0
Hoja 4,61,NUEVO,True,Lapicero,Faber Castell,Lapicero Trilux - 035,17.0,Unidad,0.7,11.9,0.7,1.5
