excel_sheet,excel_row,id_articulo_excel,etiqueta_nuevo,tipo,marca,nombre,count_presentacion,unidad_medida,precio_inicial,costo_total,precio_por_unidad,precio_venta_sugerido,cantidad_unidades,unidad_venta,precio_unidad_venta,total_venta,stock,c_venta,estado,notas,count_2,unidad_medida_2,precio_inicial_2,costo_total_2,precio_por_unidad_2,precio_venta_sugerido_2,cantidad_unidades_2,unidad_venta_2,precio_unidad_venta_2,total_venta_2
Hoja 1,7,NUEVO,True,Lapiz,Faber Castell,Lapiz 2B Titan,1.0,Docena,9.0,9.0,0.75,1.5,12.0,Unidad,1.5,18.0,0.0,0.0,,,2.0,Cajitas,7.5,15.0,0.625,1.0,24.0,Unidad,1.0,24.0
Hoja 1,8,NUEVO,True,Lapiz,Layconsa,Lapiz Grazo Negro,7.0,Unidad,2.0,14.0,2.0,3.5,7.0,Unidad,3.5,24.5,0.0,0.0,,,2.0,Docena,26.0,52.0,2.166666667,3.0,24.0,Unidad,3.5,84.0
Hoja 1,9,NUEVO,True,Lapiz,Layconsa,Lapiz Semi Negro,9.0,Unidad,2.5,22.5,2.5,4.5,9.0,Unidad,3.5,31.5,0.0,0.0,,,2.0,Docena,26.0,52.0,2.166666667,3.0,24.0,Unidad,3.5,84.0
Hoja 1,10,NUEVO,True,Lapiz,Layconsa,Lapiz tecnico 6B,1.0,Docena,12.0,12.0,1.0,1.5,12.0,Unidad,2.0,24.0,0.0,0.0,,,2.0,Docena,8.5,17.0,0.7083333333,2.0,24.0,Unidad,2.0,48.0
Hoja 1,11,NUEVO,True,Lapiz,,Lapiz Punsonez,9.0,Unidad,0.28,2.52,0.28,0.0,9.0,Unidad,0.7,6.3,0.0,0.0,,,1.0,Ciento,28.0,28.0,0.28,0.7,100.0,Unidad,0.7,70.0
Hoja 1,33,NUEVO,True,Toallas,,Toalla sin diseño,9.0,Unidad,1.5,13.5,1.5,3.0,9.0,Unidad,4.0,36.0,0.0,0.0,,,1.0,Paquete,24.0,24.0,2.4,4.0,12.0,Unidad,4.0,48.0
Hoja 1,34,NUEVO,True,Toallas,,Toalla con diseño,4.0,Unidad,3.5,14.0,3.5,5.5,4.0,Unidad,5.0,20.0,0.0,0.0,,,1.0,Paquete,36.0,36.0,3.6,5.0,12.0,Unidad,5.0,60.0
Hoja 1,35,NUEVO,True,,Artesco,Micas A4,1.0,Sobre,3.8,3.8,0.38,1.0,10.0,Unidad,1.0,10.0,0.0,0.0,,,50.0,1/2 Ciento,0.52,26.0,0.52,1.0,50.0,Unidad,1.0,50.0
Hoja 1,50,NUEVO,True,,,Baja Lengua - Blanco,12.0,Sobre,0.4166666667,5.0,0.4166666667,1.0,12.0,Unidad,1.0,12.0,0.0,0.0,,,2.0,Paquete,5.0,10.0,0.5,1.0,20.0,Unidad,1.0,20.0
Hoja 1,51,NUEVO,True,,,Baja Lengua  de color grande,6.0,Unidad,0.5833333333,3.5,0.5833333333,2.0,6.0,Unidad,2.0,12.0,0.0,0.0,,,1.0,Paquete,8.0,8.0,0.6666666667,2.0,12.0,Unidad,2.0,24.0
Hoja 1,54,NUEVO,True,Tempera,Layconsa,"Botellas de Temperas (Amarillo, rojo, Azul) -  (Rojo, azul,  verde, amarillo, negro, blanco)",18.0,Unidad,4.5,81.0,4.5,7.0,18.0,Unidad,7.0,126.0,0.0,0.0,,,2.0,Docena,54.0,108.0,4.5,7.0,24.0,Unidad,7.0,168.0
Hoja 1,55,NUEVO,True,Tempera,Layconsa,Temperas x7,9.0,Cajas,5.0,45.0,5.0,7.0,9.0,Cajitas,7.0,63.0,0.0,0.0,,,1.0,Docena,68.0,68.0,5.666666667,7.0,12.0,Unidad,7.0,84.0
Hoja 1,62,NUEVO,True,Lapicero,Faber Castell,Lapicero Trilux - 035,17.0,Unidad,0.7,11.9,0.7,1.5,17.0,Unidad,1.0,17.0,0.0,0.0,,,1.0,Cajas,22.5,22.5,0.45,1.0,50.0,Unidad,1.0,50.0
Hoja 1,64,NUEVO,True,,,Hizopo,3.0,Unidad,1.0,3.0,1.0,1.5,3.0,Unidad,1.5,4.5,0.0,0.0,,,12.0,,0.6666666667,8.0,0.6666666667,1.5,12.0,Unidad,1.5,18.0
Hoja 1,65,NUEVO,True,,,Pozzis limpiatipo,8.0,Unidad,1.825,14.6,1.825,3.5,8.0,Unidad,4.0,32.0,0.0,0.0,,,12.0,Unidad,1.833333333,22.0,1.833333333,4.0,12.0,Unidad,4.0,48.0
Hoja 1,66,NUEVO,True,,,Stikers Have Love,50.0,Unidad,0.48,24.0,0.48,1.0,50.0,Unidad,1.0,50.0,0.0,0.0,,,50.0,,0.48,24.0,0.48,1.0,50.0,Unidad,1.0,50.0
