excel_sheet,excel_row,id_articulo_excel,etiqueta_nuevo,tipo,marca,nombre,count_presentacion,unidad_medida,precio_inicial,costo_total,precio_por_unidad,precio_venta_sugerido,cantidad_unidades,unidad_venta,precio_unidad_venta,total_venta,stock,c_venta,estado,notas,count_2,unidad_medida_2,precio_inicial_2,costo_total_2,precio_por_unidad_2,precio_venta_sugerido_2,cantidad_unidades_2,unidad_venta_2,precio_unidad_venta_2,total_venta_2
Hoja 1,3,,False,Lapiz,Artesco,Lapiz Chequeo Rojo,6.0,Docena,6.0,36.0,0.5,1.0,72.0,Unidad,1.0,72.0,0.0,0.0,En stock,,0.0,,0.0,0.0,0.0,0.0,0.0,Unidad,0.0,0.0
Hoja 1,4,,False,Lapiz,Artesco,Lapiz Bicolor,9.0,Docena,10.0,90.0,0.8333333333,1.5,108.0,Unidad,1.5,162.0,0.0,0.0,No disponible temporalmente,,0.0,,0.0,0.0,0.0,0.0,0.0,Unidad,0.0,0.0
Hoja 1,5,,False,Lapiz,Layconsa,Lapiz Chequeo Rojo,9.0,Docena,7.0,63.0,0.5833333333,1.5,108.0,Unidad,1.0,108.0,0.0,0.0,Es necesario volver a comprar,,0.0,,0.0,0.0,0.0,0.0,0.0,Unidad,0.0,0.0
Hoja 1,6,,False,Lapiz,Vikingo,Lapiz 2B,4.0,Docena,6.0,24.0,0.5,1.0,48.0,Unidad,1.0,48.0,0.0,0.0,Agotado,,0.0,,0.0,0.0,0.0,0.0,0.0,Unidad,0.0,0.0
Hoja 1,7,NUEVO,True,Lapiz,Faber Castell,Lapiz 2B Titan,1.0,Docena,9.0,9.0,0.75,1.5,12.0,Unidad,1.5,18.0,0.0,0.0,,,2.0,Cajitas,7.5,15.0,0.625,1.0,24.0,Unidad,1.0,24.0
Hoja 1,8,NUEVO,True,Lapiz,Layconsa,Lapiz Grazo Negro,7.0,Unidad,2.0,14.0,2.0,3.5,7.0,Unidad,3.5,24.5,0.0,0.0,,,2.0,Docena,26.0,52.0,2.166666667,3.0,24.0,Unidad,3.5,84.0
Hoja 1,9,NUEVO,True,Lapiz,Layconsa,Lapiz Semi Negro,9.0,Unidad,2.5,22.5,2.5,4.5,9.0,Unidad,3.5,31.5,0.0,0.0,,,2.0,Docena,26.0,52.0,2.166666667,3.0,24.0,Unidad,3.5,84.0
Hoja 1,10,NUEVO,True,Lapiz,Layconsa,Lapiz tecnico 6B,1.0,Docena,12.0,12.0,1.0,1.5,12.0,Unidad,2.0,24.0,0.0,0.0,,,2.0,Docena,8.5,17.0,0.7083333333,2.0,24.0,Unidad,2.0,48.0
Hoja 1,11,NUEVO,True,Lapiz,,Lapiz Punsonez,9.0,Unidad,0.28,2.52,0.28,0.0,9.0,Unidad,0.7,6.3,0.0,0.0,,,1.0,Ciento,28.0,28.0,0.28,0.7,100.0,Unidad,0.7,70.0
Hoja 1,12,,False,Lapiz,Layconsa,Lapiz Bicolor,32.0,Unidad,0.58125,18.6,0.58125,1.0,32.0,Unidad,1.0,32.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,Unidad,0.0,0.0
Hoja 1,13,,False,Plumon,Layconsa,Plumon Acrilico L-123,9.0,Docena,15.0,135.0,1.25,2.5,108.0,Unidad,2.5,270.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,Unidad,0.0,0.0
Hoja 1,14,,False,Plumon,Faber Castell,Plumon Jumbo 123,2.0,Docena,37.5,75.0,3.125,5.0,24.0,Unidad,5.0,120.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,Unidad,0.0,0.0
Hoja 1,15,,False,Plumon,Arteza,Plumon Pizzarra,2.0,Docena,24.0,48.0,2.0,0.0,24.0,Unidad,3.5,84.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,Unidad,0.0,0.0
Hoja 1,16,,False,Plumon,Faber Castell,Plumon 2.3mm,1.0,Docena,15.0,15.0,1.25,2.5,12.0,Unidad,3.0,36.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,Unidad,0.0,0.0
Hoja 1,17,,False,Plumon,Faber Castell,Plumones Marcador Fibre Tips - 12 uni,6.0,Unidad,3.166666667,19.0,3.166666667,5.0,6.0,Unidad,8.0,48.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,Unidad,0.0,0.0
Hoja 1,18,,False,Plumon,Faber Castell,Plumones Marcador 6 uni -,2.0,Unidad,4.0,8.0,4.0,5.0,2.0,Unidad,5.0,10.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,Unidad,0.0,0.0
Hoja 1,19,,False,Cartuchera,,Cartuchera Mike Crack,3.0,Unidad,7.0,21.0,7.0,10.0,3.0,Unidad,10.0,30.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,Unidad,0.0,0.0
Hoja 1,20,,False,Cartuchera,,Cartuchera Forta,6.0,Unidad,7.0,42.0,7.0,12.0,6.0,Unidad,10.0,60.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,Unidad,0.0,0.0
