sku,name,unit,sale_price,stock_on_hand,avg_cost,min_stock,active
SKU-B35E15000C,Lapiz Chequeo Rojo,Docena,1.0,6.0,0.5,0,True
SKU-CFF923A7CB,Lapiz Bicolor,Docena,1.5,9.0,0.8333,0,True
SKU-2C39477511,Lapiz Chequeo Rojo,Docena,1.5,9.0,0.5833,0,True
SKU-A0036CB3EE,Lapiz 2B,Docena,1.0,4.0,0.5,0,True
SKU-71C2AA1AC2,Lapiz 2B Titan,Docena,1.5,1.0,0.75,0,True
SKU-8FC03EDBA8,Lapiz Grazo Negro,Unidad,3.5,7.0,2.0,0,True
SKU-ACD539DCF8,Lapiz Semi Negro,Unidad,4.5,9.0,2.5,0,True
SKU-B5C11289ED,Lapiz tecnico 6B,Docena,1.5,1.0,1.0,0,True
SKU-4985AB403E,Lapiz Punsonez,Unidad,0.0,9.0,0.28,0,True
SKU-47649F38F3,Lapiz Bicolor,Unidad,1.0,32.0,0.5813,0,True
SKU-3D6E311713,Plumon Acrilico L-123,Docena,2.5,9.0,1.25,0,True
SKU-8C8A44A28A,Plumon Jumbo 123,Docena,5.0,2.0,3.125,0,True
SKU-A4C64A7065,Plumon Pizzarra,Docena,0.0,2.0,2.0,0,True
SKU-F12064BA1D,Plumon 2.3mm,Docena,2.5,1.0,1.25,0,True
SKU-54BDA3B77E,Plumones Marcador Fibre Tips - 12 uni,Unidad,5.0,6.0,3.1667,0,True
SKU-7AA60686F3,Plumones Marcador 6 uni -,Unidad,5.0,2.0,4.0,0,True
SKU-7FE37C8EBE,Cartuchera Mike Crack,Unidad,10.0,3.0,7.0,0,True
SKU-088F490747,Cartuchera Forta,Unidad,12.0,6.0,7.0,0,True
SKU-9F843A3ED5,Cartucheta Simple,Unidad,0.0,11.0,0.0,0,True
SKU-EE9347CD6F,Estuches de Plastico,Unidad,7.0,5.0,6.0,0,True
SKU-403887F2ED,Saca Punta con Deposito,Unidad,3.5,3.0,2.0,0,True
SKU-3F04396584,Saca Punta con M-207,Unidad,0.5,118.0,0.2542,0,True
SKU-21586425F2,Saca Punta Metal,Unidad,1.5,15.0,0.7467,0,True
SKU-D8FF390C71,Saca Punta Metal Doble,Unidad,2.5,19.0,1.8,0,True
SKU-F767C4A84B,Saca Punta con Deposito 8917,Docena,1.5,1.0,1.0,0,True
SKU-548D01F865,Saca Punta con Deposito,Docena,1.5,1.0,1.0,0,True
SKU-EFF72223DB,Saca Punta con Deposito,Docena,2.0,1.0,1.0,0,True
SKU-A6FC3FFFAE,Saca Punta,Cajitas,0.0,1.0,0.6667,0,True
SKU-0A7E74A79A,Saca Punta M-557,Cajitas,2.0,2.0,0.6667,0,True
SKU-596614038E,Tarjadores,Unidad,0.0,18.0,0.5,0,True
SKU-A292B4DE9C,Toalla sin diseño,Unidad,3.0,9.0,1.5,0,True
SKU-FA80AA5B55,Toalla con diseño,Unidad,5.5,4.0,3.5,0,True
SKU-1B040F84C1,Micas A4,Sobre,1.0,1.0,0.38,0,True
SKU-1A61EF5307,Meseros Personales - Niños,Unidad,2.5,7.0,1.5,0,True
SKU-F88C6410A3,Sobre Manila A4 premium,Paquete,1.0,9.0,0.4444,0,True
SKU-86FCEA2F11,Forro Vinifan A4,Unidad,7.0,4.0,4.0,0,True
SKU-610A957481,Forro Vinifan Grande OM,Unidad,9.0,2.0,7.0,0,True
SKU-CC0A8E99BA,Forro vinifan A4,Unidad,4.5,14.0,3.5,0,True
SKU-5CC706071A,Forro vinifan A4,Unidad,3.5,9.0,2.0,0,True
SKU-826C40E118,Corrector Oval de 2 pares,Unidad,2.0,29.0,0.6207,0,True
SKU-CB560BEEE8,Corrector 9ML,Docena,2.5,1.0,1.8333,0,True
SKU-657537C0BB,Resaltador,Unidad,2.5,18.0,1.3333,0,True
SKU-E6ECA4BB2D,Goma Liquida Mar David 60gr,Unidad,1.5,9.0,0.9111,0,True
SKU-F901C51CE7,Goma en barra 21Gr,Unidad,3.5,15.0,1.8,0,True
SKU-D740B5A41D,Goma en barra 40Gr,Unidad,5.0,3.0,4.0,0,True
SKU-20D4B162C0,Borrador LA-2O,Unidad,1.0,16.0,0.55,0,True
SKU-47D72EF215,Borrador LA-40 bicolor,Unidad,1.0,15.0,0.5,0,True
SKU-E1915FD596,Baja Lengua - Blanco,Sobre,1.0,10.0,0.5,0,True
SKU-FB6932B48B,Baja Lengua  de color grande,Unidad,2.0,6.0,0.5833,0,True
SKU-C756F39052,Baja Lengua de color pequeño,Unidad,1.5,35.0,0.6,0,True
SKU-4C5B02D17F,Pintura Brillo Escarchado,Unidad,0.0,36.0,0.0,0,True
SKU-71703659EC,"Botellas de Temperas (Amarillo, rojo, Azul) -  (Rojo, azul,  verde, amarillo, negro, blanco)",Unidad,7.0,18.0,4.5,0,True
SKU-BE332825F0,Temperas x7,Cajas,7.0,9.0,5.0,0,True
SKU-174A32F486,Acuarelas Grandes,Unidad,8.0,4.0,4.0,0,True
SKU-286FE9445F,Acuarelas pequeñas,Unidad,6.0,3.0,3.5,0,True
SKU-D10E312991,Lapicero Trilux Negro-032,Cajitas,1.0,1.0,0.44,0,True
SKU-869F2341BF,Lapicero Trilux Rojo-032,Cajitas,1.0,1.0,0.44,0,True
SKU-E29E5C3C39,Lapicero Trilux-031,Unidad,1.0,46.0,0.4783,0,True
SKU-F5EC060813,Lapicero Trilux Azul-032,Unidad,1.0,30.0,0.44,0,True
SKU-6A944058B9,Lapicero Trilux - 035,Unidad,1.5,17.0,0.7,0,True
SKU-752D174473,Pincel Escolar 1-6 Besco,Unidad,1.0,125.0,0.6664,0,True
SKU-F06AE39D3D,Hizopo,Unidad,1.5,3.0,1.0,0,True
SKU-D9A535C356,Pozzis limpiatipo,Unidad,3.5,8.0,1.825,0,True
SKU-448A8AC612,Stikers Have Love,Unidad,1.0,50.0,0.48,0,True
SKU-719315C9EF,Nombre de cuaderno,Unidad,0.3,100.0,0.1,0,True
SKU-5C73B60915,Stikers de Portada - Plancha,Unidad,0.2,4.0,0.125,0,True
SKU-0D608B9E69,Tableros Acrilicos,Unidad,10.0,3.0,7.0,0,True
SKU-FCEB95A265,Sketch book 15h,Unidad,4.0,24.0,2.1667,0,True
SKU-C2CDBEE0B5,Sketch book 25h,Unidad,6.0,14.0,2.6643,0,True
SKU-D458444EA7,Sketch book 50h,Unidad,12.0,15.0,8.0,0,True
SKU-F8C11BD284,Tabla periodica,Unidad,1.5,15.0,0.6667,0,True
SKU-D15BAC6AB0,Cometas,Unidad,0.0,15.0,0.0,0,True
SKU-CC77E1CB6E,Banderas,Unidad,0.0,6.0,0.0,0,True
SKU-96A54B592D,Microporoso Glitter self Adhesivo letras escarchados,Unidad,1.5,14.0,0.8,0,True
SKU-E3DC6271A1,Folder Manila A4,Paquete,1.0,16.0,0.27,0,True
SKU-92E9FC0267,Folder Top,Unidad,5.0,45.0,2.6667,0,True
SKU-807FCCA0D5,Folder Genius,Unidad,0.0,2.0,2.67,0,True
SKU-A95695902B,Folder Vinifan,Unidad,0.0,6.0,2.67,0,True
SKU-80F3629E6F,Folder a color de cartulina,Unidad,0.8,73.0,0.36,0,True
SKU-46E96BE918,Tijeras R-Relampago con formas,Sobre,3.0,1.0,1.6667,0,True
SKU-B763AB4CA4,Tijeras Acolores,Unidad,1.0,17.0,0.6235,0,True
SKU-55A37B661F,Tijeras amarillas,Unidad,1.0,10.0,0.625,0,True
SKU-980649732C,Cuadernillo de anotes pequeño,Unidad,1.5,4.0,1.0,0,True
SKU-BFF6AAF2E2,Cuadernillo de anotes grande,Unidad,3.0,6.0,2.0,0,True
SKU-6883152A26,Libro de actas 200f,Unidad,0.0,2.0,7.2,0,True
SKU-894F4DE5BD,Libro de actas 100f,Unidad,0.0,1.0,3.7,0,True
SKU-B2BE8E20C5,Obras Literarias,Unidad,4.0,5.0,3.5,0,True
SKU-3B45C1A452,Diccionario Bruno Ingles,Unidad,20.0,4.0,7.5,0,True
SKU-8B83AAD0BD,Diccionario Bruno Sinonimos Antonimos,Unidad,20.0,16.0,7.5,0,True
SKU-163DD0A3EC,Diccionario Bruno,Unidad,20.0,8.0,7.0,0,True
SKU-26FF8F2A26,Jabon liquido grande,Unidad,6.0,27.0,4.0,0,True
SKU-C2A71FB517,Jabon liquido pequeño,Unidad,6.0,19.0,3.3316,0,True
SKU-EEDF6B72FC,Jaboneras,Unidad,1.0,4.0,1.0,0,True
SKU-B3C78D2293,Escobilla Grande de Zapato,Unidad,3.0,2.0,1.3,0,True
SKU-E325832F3F,Escobilla Pequeña de Zapato,Unidad,2.5,14.0,1.0,0,True
SKU-2B3E112B79,Betun Marron Grande,Unidad,3.5,2.0,2.0,0,True
SKU-7CBD13501A,Betun Marron Pequeño,Unidad,3.5,23.0,1.5,0,True
SKU-73A71E5263,Esponja Merlin,Paquete,1.5,6.0,0.6667,0,True
SKU-3AD10ADE3E,Pompones,Unidad,0.0,14.0,0.0,0,True
