sale_ref,customer_code,customer_name,product_sku,product_name,brand,tipo,unit,qty,price_unit,line_total,cost_total,profit_total,weeks
VENTA-2025-0001,CLI-2025,clients-2025,SKU-00358783C1,Ray Perú y Artesco,,Portafolio,Unidad,10.0,10.0,100.0,53.3333,46.6667,SEMANA-1-A
VENTA-2025-0002,CLI-2025,clients-2025,SKU-0082F4B909,cuaderno surco pqueño 100 h,Surco,cuadernos,Unidad,14.0,2.5,35.0,19.6,15.4,SEMANA-1-A
VENTA-2025-0003,CLI-2025,clients-2025,SKU-0202856B37,lapicero escarchado x 6,,,unidad,1.0,8.0,8.0,6.6,1.4,SEMANA-1-A
VENTA-2025-0004,CLI-2025,clients-2025,SKU-039AB24A72,Platilina ultra suave x6,Artesco,plastilina,unidad,2.0,18.0,36.0,5.1667,30.8333,"SEMANA-1-A,SEMANA-2-A"
VENTA-2025-0005,CLI-2025,clients-2025,SKU-04E6FF7B12,Lapicero borrable conejo,,,unidad,1.0,3.5,3.5,1.8,1.7,SEMANA-3-A
VENTA-2025-0006,CLI-2025,clients-2025,SKU-04E6FF7B12,Lapicero borrable conejo,,,unidad,2.0,5.0,10.0,5.4,4.6,SEMANA-1-A
VENTA-2025-0007,CLI-2025,clients-2025,SKU-06298A559F,loncheras,,,unidad,2.0,6.0,12.0,6.0,6.0,SEMANA-3-A
VENTA-2025-0008,CLI-2025,clients-2025,SKU-088F490747,Cartuchera Forta,,Cartuchera,Unidad,6.0,10.0,60.0,42.0,18.0,SEMANA-1-A
VENTA-2025-0009,CLI-2025,clients-2025,SKU-096E7DB466,Lapicero pilot azul,PILOT,Lapicero,unidad,1.0,3.5,3.5,2.4167,1.0833,SEMANA-1-A
VENTA-2025-0010,CLI-2025,clients-2025,SKU-0AF223D840,Cinta Grande Brudan Peru embalaje,,Cinta,Unidad,3.0,2.0,6.0,2.25,3.75,"SEMANA-1-A,SEMANA-3-A"
VENTA-2025-0011,CLI-2025,clients-2025,SKU-0B24D6F164,Set de borradores modelo oso queso x 3,,,unidad,1.0,4.0,4.0,2.7,1.3,SEMANA-1-A
VENTA-2025-0012,CLI-2025,clients-2025,SKU-0E6AA9F21D,Paletas de pinturas,,Paleta,Unidad,8.0,3.0,24.0,14.0,10.0,"SEMANA-1-A,SEMANA-1-B,SEMANA-2-B,SEMANA-3-B"
VENTA-2025-0013,CLI-2025,clients-2025,SKU-0F68E2EC13,Micas A4,Artesco,,Unidad,25.0,1.0,25.0,11.6,13.4,"SEMANA-1-A,SEMANA-1-B,SEMANA-2-B,SEMANA-3-B"
VENTA-2025-0014,CLI-2025,clients-2025,SKU-105EDC100D,paquete de ganchos de 6 pares,,,Paquete,3.0,0.5,1.5,0.375,1.125,"SEMANA-1-A,SEMANA-2-A"
VENTA-2025-0015,CLI-2025,clients-2025,SKU-114F4CCCFD,Rompecabezas de 50 piesas,,Rompecabezas,Unidad,1.0,15.0,15.0,15.0,0.0,SEMANA-1-A
VENTA-2025-0016,CLI-2025,clients-2025,SKU-120B36A5F6,Cajitas de Grampa,,Engrampador,Unidad,2.0,1.5,3.0,1.6,1.4,"SEMANA-1-A,SEMANA-3-A"
VENTA-2025-0017,CLI-2025,clients-2025,SKU-14DDD5EBC1,Cartulina a colores,,Papel,Unidad,5.0,1.0,5.0,2.0957,2.9043,"SEMANA-2-A,SEMANA-3-A"
VENTA-2025-0018,CLI-2025,clients-2025,SKU-14F63E966D,Stiker cuaderno,,,unidad,153.0,0.2,30.6,11.475,19.125,SEMANA-1-A
VENTA-2025-0019,CLI-2025,clients-2025,SKU-163DD0A3EC,Diccionario Bruno,,,Unidad,1.0,15.0,15.0,7.0,8.0,SEMANA-1-A
VENTA-2025-0020,CLI-2025,clients-2025,SKU-165935C822,cuaderno markin triple reglon 100 h,,cuadernos,unidad,5.0,4.5,22.5,15.0,7.5,SEMANA-1-A
VENTA-2025-0021,CLI-2025,clients-2025,SKU-1B4019FFD0,carton cartulina,,,unidad,7.0,2.0,14.0,6.3,7.7,SEMANA-3-A
VENTA-2025-0022,CLI-2025,clients-2025,SKU-1C8518A3F6,Plumon school L-45 x 12,Layconsa,Plumon,unidad,6.0,7.0,42.0,29.0,13.0,"SEMANA-1-A,SEMANA-2-A,SEMANA-3-A"
VENTA-2025-0023,CLI-2025,clients-2025,SKU-1EDA4B9225,Papel Corrospum,,Papel,Unidad,4.0,5.0,20.0,14.0,6.0,"SEMANA-2-A,SEMANA-3-A"
VENTA-2025-0024,CLI-2025,clients-2025,SKU-20D4B162C0,Borrador LA-2O,Layconsa,Borrador,Unidad,6.0,1.0,6.0,3.3,2.7,SEMANA-1-A
VENTA-2025-0025,CLI-2025,clients-2025,SKU-2101C27711,cuadernouniversal 1x1,universal,cuadernos,Unidad,3.0,7.0,21.0,15.0,6.0,SEMANA-1-A
VENTA-2025-0026,CLI-2025,clients-2025,SKU-232269CDDF,Vaso de plastico,,,unidad,8.0,1.5,12.0,6.6667,5.3333,"SEMANA-2-A,SEMANA-3-A"
VENTA-2025-0027,CLI-2025,clients-2025,SKU-24D54B3207,Colores Largos x 12,Faber Castell,Colores,unidad,4.0,8.0,32.0,23.3333,8.6667,SEMANA-1-A
VENTA-2025-0028,CLI-2025,clients-2025,SKU-250A95296D,Resaltador pastel x 6 und,,Resaltador,unidad,7.0,2.0,14.0,5.8333,8.1667,SEMANA-1-A
VENTA-2025-0029,CLI-2025,clients-2025,SKU-2544F733EC,Papel boom 70 gr,,Papel,unidad,4.0,18.0,72.0,56.0,16.0,"SEMANA-1-A,SEMANA-3-A"
VENTA-2025-0030,CLI-2025,clients-2025,SKU-25611AAAAD,Borrador layconsa bicolo x50,Layconsa,Borrador,unidad,3.0,0.5,1.5,0.9,0.6,SEMANA-3-A
VENTA-2025-0031,CLI-2025,clients-2025,SKU-259711D0CD,Super esponja,,,Unidad,4.0,1.0,4.0,1.8333,2.1667,"SEMANA-1-A,SEMANA-3-A"
VENTA-2025-0032,CLI-2025,clients-2025,SKU-25E6A5907E,muñeca con accesorios 8260,,Juguetes,Unidad,1.0,9.0,9.0,6.5,2.5,SEMANA-1-A
VENTA-2025-0033,CLI-2025,clients-2025,SKU-2606E9183E,Plumon Pizzarra,Arteza,Plumon,Unidad,1.0,3.5,3.5,2.0,1.5,SEMANA-2-A
VENTA-2025-0034,CLI-2025,clients-2025,SKU-26FF8F2A26,Jabon liquido grande,,,Unidad,2.0,6.0,12.0,8.0,4.0,SEMANA-1-A
