product_sku,product_name,brand,tipo,unit,stock_current,qty_sold_total,sales_total,cost_total,profit_total,price_variants_count,price_variants
SKU-8697FBECCC,Abaco,,Juegos didacticos,unidad,2.0,4.0,68.0,34.0,34.0,1,17.0
SKU-FB6932B48B,Baja Lengua  de color grande,,,Unidad,9.0,9.0,18.0,5.5,12.5,1,2.0
SKU-7A82393C55,Baja Lengua - Blanco,,,Unidad,7.0,25.0,25.0,11.5,13.5,1,1.0
SKU-C756F39052,Baja Lengua de color pequeño,,,Unidad,32.0,3.0,4.5,1.8,2.7,1,1.5
SKU-E082FFFBDB,Base 10,,Juegos didacticos,unidad,7.0,5.0,135.0,40.0,95.0,1,27.0
SKU-2B3E112B79,Betun Marron Grande,,,Unidad,1.0,1.0,4.0,2.0,2.0,1,4.0
SKU-9DACA2AC67,betun negro mediano,,,unidad,9.0,3.0,10.5,6.5,4.0,1,3.5
SKU-6B0F82BDFF,bloques,,Juegos didacticos,unidad,3.0,3.0,36.0,19.5,16.5,1,12.0
SKU-CB9437A81C,"bolson de l,ona",,,unidad,8.0,4.0,32.0,26.0,6.0,1,8.0
SKU-83CD5D38B1,Borrador Aval x 20,Oval,Borrador,unidad,15.0,5.0,5.0,2.5,2.5,1,1.0
SKU-384706C8BB,Borrador Aval x 30,Oval,Borrador,unidad,25.0,5.0,4.0,1.6667,2.3333,1,0.8
SKU-20D4B162C0,Borrador LA-2O,Layconsa,Borrador,Unidad,10.0,6.0,6.0,3.3,2.7,1,1.0
SKU-25611AAAAD,Borrador layconsa bicolo x50,Layconsa,Borrador,unidad,77.0,3.0,1.5,0.9,0.6,1,0.5
SKU-B6B52CD788,borradores patita,,,unidad,1.0,2.0,6.0,6.0,0.0,1,3.0
SKU-F7DA7DEB25,borradores transparentes,,,unidad,0.0,3.0,7.5,7.5,0.0,1,2.5
SKU-71703659EC,"Botellas de Temperas (Amarillo, rojo, Azul) -  (Rojo, azul,  verde, amarillo, negro, blanco)",Layconsa,Tempera,Unidad,26.0,16.0,112.0,72.0,40.0,1,7.0
SKU-A39A5CB534,Botones,,,Unidad,56.0,1.0,1.0,0.6667,0.3333,1,1.0
SKU-120B36A5F6,Cajitas de Grampa,,Engrampador,Unidad,10.0,2.0,3.0,1.6,1.4,1,1.5
SKU-8F27ACC7C0,Camion Ciguena3983 A,,Juguetes,Unidad,1.0,1.0,12.0,8.0,4.0,1,12.0
SKU-6F46528248,Camion con toro CMN12,,Juguetes,Unidad,1.0,2.0,24.0,14.0,10.0,1,12.0
SKU-1B4019FFD0,carton cartulina,,,unidad,43.0,7.0,14.0,6.3,7.7,1,2.0
SKU-088F490747,Cartuchera Forta,,Cartuchera,Unidad,0.0,6.0,60.0,42.0,18.0,1,10.0
SKU-7FE37C8EBE,Cartuchera Mike Crack,,Cartuchera,Unidad,0.0,3.0,30.0,21.0,9.0,1,10.0
SKU-6AD4414B14,Cartuchera surtido cuero,,,unidad,7.0,5.0,50.0,27.5,22.5,1,10.0
SKU-488624C093,cartucheras,,,unidad,1.0,1.0,9.0,9.0,0.0,1,9.0
SKU-14DDD5EBC1,Cartulina a colores,,Papel,Unidad,42.0,5.0,5.0,2.0957,2.9043,1,1.0
SKU-87FB5C45C1,Cartulina blanca,,,unidad,69.0,31.0,15.5,9.92,5.58,1,0.5
SKU-EC244CF0A7,Cartulina Fosforesente,,Papel,Unidad,42.0,3.0,13.5,7.5,6.0,1,4.5
SKU-D726876DA1,Cartulina Negra,,Papel,unidad,81.0,19.0,28.5,9.5,19.0,1,1.5
SKU-8EC5F5CD1C,cepillo colgate,,,unidad,1.0,11.0,44.0,25.6667,18.3333,1,4.0
SKU-65B092F11F,cholito,,,unidad,10.0,2.0,7.0,4.0,3.0,1,3.5
