product_sku,product_name,brand,tipo,unit,stock_current
SKU-8697FBECCC,Abaco,,Juegos didacticos,unidad,2.0
SKU-174A32F486,Acuarelas Grandes,,Tempera,Unidad,4.0
SKU-286FE9445F,Acuarelas pequeñas,Arteza,Tempera,Unidad,3.0
SKU-AAD11162D5,adorno niño selvatico,,,unidad,12.0
SKU-E784193A9C,adornos para el dia del padre,,,unidad,12.0
SKU-FB6932B48B,Baja Lengua  de color grande,,,Unidad,9.0
SKU-7A82393C55,Baja Lengua - Blanco,,,Unidad,7.0
SKU-C756F39052,Baja Lengua de color pequeño,,,Unidad,32.0
SKU-CC77E1CB6E,Banderas,,,Unidad,5.0
SKU-E082FFFBDB,Base 10,,Juegos didacticos,unidad,7.0
SKU-B8D34F9520,Batisoga grande,,,Unidad,11.0
SKU-2B3E112B79,Betun Marron Grande,,,Unidad,1.0
SKU-7CBD13501A,Betun Marron Pequeño,,,Unidad,23.0
SKU-9DACA2AC67,betun negro mediano,,,unidad,9.0
SKU-6B0F82BDFF,bloques,,Juegos didacticos,unidad,3.0
SKU-CB9437A81C,"bolson de l,ona",,,unidad,8.0
SKU-83CD5D38B1,Borrador Aval x 20,Oval,Borrador,unidad,15.0
SKU-384706C8BB,Borrador Aval x 30,Oval,Borrador,unidad,25.0
SKU-20D4B162C0,Borrador LA-2O,Layconsa,Borrador,Unidad,10.0
SKU-47D72EF215,Borrador LA-40 bicolor,Layconsa,Borrador,Unidad,15.0
SKU-25611AAAAD,Borrador layconsa bicolo x50,Layconsa,Borrador,unidad,77.0
SKU-B6B52CD788,borradores patita,,,unidad,1.0
SKU-F7DA7DEB25,borradores transparentes,,,unidad,0.0
SKU-71703659EC,"Botellas de Temperas (Amarillo, rojo, Azul) -  (Rojo, azul,  verde, amarillo, negro, blanco)",Layconsa,Tempera,Unidad,26.0
SKU-A39A5CB534,Botones,,,Unidad,56.0
SKU-B1DE97BF6F,brocheta intermedia,,,unidad,6.0
SKU-120B36A5F6,Cajitas de Grampa,,Engrampador,Unidad,10.0
SKU-8F27ACC7C0,Camion Ciguena3983 A,,Juguetes,Unidad,1.0
SKU-6F46528248,Camion con toro CMN12,,Juguetes,Unidad,1.0
SKU-1B4019FFD0,carton cartulina,,,unidad,43.0
SKU-088F490747,Cartuchera Forta,,Cartuchera,Unidad,0.0
SKU-7FE37C8EBE,Cartuchera Mike Crack,,Cartuchera,Unidad,0.0
SKU-6AD4414B14,Cartuchera surtido cuero,,,unidad,7.0
SKU-488624C093,cartucheras,,,unidad,1.0
SKU-9F843A3ED5,Cartucheta Simple,,Cartuchera,Unidad,11.0
SKU-14DDD5EBC1,Cartulina a colores,,Papel,Unidad,42.0
SKU-87FB5C45C1,Cartulina blanca,,,unidad,69.0
SKU-EC244CF0A7,Cartulina Fosforesente,,Papel,Unidad,42.0
SKU-D726876DA1,Cartulina Negra,,Papel,unidad,81.0
SKU-5972A924E8,cartulinas de pliego a color A4,,,Unidad,6.0
SKU-8EC5F5CD1C,cepillo colgate,,,unidad,1.0
SKU-7BEEA9F353,chapitas,,,unidad,71.0
SKU-EC04730CBE,chinches,,,unidad,10.0
SKU-65B092F11F,cholito,,,unidad,10.0
SKU-50A319EDA9,cinta capibara,,,unidad,4.0
SKU-F80351F0F5,cinta de agua,,,unidad,12.0
SKU-6E4CFB4AB7,cinta de cabello verde y kaky,,,unidad,119.0
SKU-3BE5E01407,Cinta de color maskin taps,,Cinta,Unidad,6.0
SKU-49328EA6BC,Cinta de colores grande,,Cinta,Unidad,55.0
SKU-1D043D31FE,Cinta de colores pequeño,,Cinta,Unidad,10.0
SKU-816F692D19,Cinta Durafan scosh  pequeño12*14,,Cinta,Unidad,22.0
SKU-98985FC2E2,Cinta electrica,,Cinta,Unidad,5.0
SKU-0AF223D840,Cinta Grande Brudan Peru embalaje,,Cinta,Unidad,63.0
SKU-EE5659CFF7,Cinta Grande Durango embalaje,,Cinta,Unidad,10.0
SKU-51D94161E4,Cinta Leon scosh pq grueso 18*45,,Cinta,Unidad,3.0
SKU-80852C9B2C,Cinta Maskin Pegafan 24mm,,Cinta,Unidad,15.0
SKU-79766A3EC4,Cinta Maskin Pegafan 36mm,,Cinta,Unidad,3.0
SKU-FE61DF628C,Cinta Maskin Pegafan 48mm,,Cinta,Unidad,10.0
SKU-36871BCFD9,Cinta Maskin shurtape 1 1/2*15,,Cinta,Unidad,17.0
SKU-FEB8C87076,Cinta Maskin shurtape 1/2*15,,Cinta,Unidad,2.0
SKU-D6FF0730E9,Cinta Maskin Shurtape 3/4*15,,Cinta,Unidad,2.0
SKU-A744CA3157,Cinta Maskin shurtaple 1*15,,Cinta,Unidad,38.0
SKU-F0F3D54703,Cinta Maskin shurtaple 2*15,,Cinta,unidad,16.0
SKU-B289F478F3,Cinta navideña,,,Unidad,1.0
SKU-74D37CB40E,Cinta scoth delgado,,Cinta,unidad,57.0
SKU-65B593846C,colet negros,,,Paquete,3.0
SKU-D35B231535,Colores cortos x 12,Faber Castell,Colores,unidad,24.0
SKU-73ECB72794,Colores Jumbo,Layconsa,Colores,unidad,10.0
SKU-24D54B3207,Colores Largos x 12,Faber Castell,Colores,unidad,20.0
SKU-D15BAC6AB0,Cometas,,,Unidad,15.0
SKU-3E4604AF45,Compas,Layconsa,Compas,Unidad,11.0
SKU-3C3E411E3B,control remoto carro CQ0085-2,,Juguetes,Unidad,1.0
SKU-08D71F3C55,Corazon de regalos,,,Unidad,3.0
SKU-95A43F219B,Cordones,,,Unidad,5.0
SKU-F3BED90DF2,Corrector,,,unidad,0.0
SKU-CE0CB129E5,Corrector 9ML,Faber Castell,Corector,Unidad,4.0
SKU-826C40E118,Corrector Oval de 2 pares,Oval,Corector,Unidad,25.0
SKU-96FF456458,cortauña pequeña,,,unidad,24.0
SKU-54906A7627,Crayones Jumbo,Layconsa,crayones,Unidad,52.0
SKU-59973D5BF3,Crema Baselina,,,Unidad,4.0
SKU-63CA56AF32,Crema Lechuga grande,,,Unidad,4.0
SKU-EEA6F85811,crema lechuga pequeño,,,Unidad,10.0
SKU-6F8D4A1F96,Crema ponst,,,Unidad,9.0
SKU-9E86C13A28,Crepe con diseño,,,unidad,27.0
SKU-BFF6AAF2E2,Cuadernillo de anotes grande,,,Unidad,6.0
SKU-980649732C,Cuadernillo de anotes pequeño,,,Unidad,4.0
SKU-833F6730BA,cuaderno arcoiris triple reglon,arcoiris,cuadernos,Unidad,0.0
SKU-3393692610,cuaderno layconsa estudiante # 100 h,Layconsa,cuadernos,Unidad,25.0
SKU-AA3D410E31,cuaderno layconsa estudiante rayado 100 h,Layconsa,cuadernos,Unidad,11.0
SKU-CFD9211956,cuaderno layconsa puppy # 100 h,Layconsa,cuadernos,Unidad,14.0
SKU-EF1D25CD8B,cuaderno layconsa teens # 100 h,Layconsa,cuadernos,Unidad,40.0
SKU-4164FE1098,cuaderno layconsa teens triple reglon,Layconsa,cuadernos,Unidad,19.0
SKU-DD5F83467A,cuaderno loro con  diseño A4 100h,loro,cuadernos,Unidad,40.0
SKU-490E89040F,cuaderno loro kinder 70 g,loro,cuadernos,Unidad,43.0
SKU-3AFD2E7935,Cuaderno Markin # 100 h,Layconsa,cuadernos,unidad,38.0
SKU-165935C822,cuaderno markin triple reglon 100 h,,cuadernos,unidad,20.0
SKU-23FF19E6E5,cuaderno stanford kist triple max,"stanford,",cuadernos,Unidad,6.0
SKU-5D1CA38400,"cuaderno stanford,universal, collaje #","stanford,",cuadernos,Unidad,7.0
SKU-95A4EA7077,cuaderno surco # 100 h,Surco,cuadernos,Unidad,2.0
SKU-4BB9031A88,cuaderno surco 1x1,Surco,cuadernos,Unidad,14.0
SKU-4C36B4A224,cuaderno surco 2x2,Surco,cuadernos,Unidad,23.0
SKU-76AF86874F,cuaderno surco con diseño A4 100h,surco,cuadernos,Unidad,13.0
SKU-8F4446C65E,cuaderno surco grnade # 50 h,Surco,cuadernos,Unidad,3.0
SKU-2AC8F7DDFD,cuaderno surco pequeño 50  h,Surco,cuadernos,Unidad,86.0
SKU-0082F4B909,cuaderno surco pqueño 100 h,Surco,cuadernos,Unidad,47.0
SKU-9E525049DE,cuaderno surco rayado 100 h,Surco,cuadernos,Unidad,20.0
SKU-7346AC1948,Cuaderno surco triple reglon 100 h,Surco,cuadernos,Unidad,70.0
SKU-C031FE8F76,cuadernos anillados capibara,,,unidad,2.0
SKU-E8640331AC,cuadernos stanford 1x1,"stanford,",cuadernos,unidad,24.0
SKU-F0552067DA,Cuadernos stanford 2x2,"stanford,",cuadernos,unidad,23.0
SKU-2101C27711,cuadernouniversal 1x1,universal,cuadernos,Unidad,2.0
SKU-7104AD1984,Cuatrimoto 876/886,,Juguetes,Unidad,7.0
SKU-6F4B1E2A08,Cuter por tiras d 12,,Cuter,unidad,18.0
SKU-66529C0038,Dados Grandes,,Juegos didacticos,unidad,111.0
SKU-818ED060B7,Dados pequeños,,,Unidad,98.0
SKU-163DD0A3EC,Diccionario Bruno,,,Unidad,7.0
SKU-3B45C1A452,Diccionario Bruno Ingles,,,Unidad,4.0
SKU-8B83AAD0BD,Diccionario Bruno Sinonimos Antonimos,,,Unidad,16.0
SKU-04EBD80B61,Engrampador artesa,,Engrampador,Unidad,2.0
SKU-32AB3A0D9C,Engrampador stapler,,Engrampador,Unidad,3.0
SKU-59E1F5048A,Engrapador artesco,Artesco,Engrampador,Unidad,0.0
SKU-9D9DA3D551,escarapela,,,unidad,72.0
SKU-3E2C39E2F6,Escarcha,,,Unidad,29.0
SKU-2981C63A39,escarcha bliquida grande,,,unidad,9.0
SKU-B3C78D2293,Escobilla Grande de Zapato,,,Unidad,0.0
SKU-E325832F3F,Escobilla Pequeña de Zapato,,,Unidad,12.0
SKU-ECD780DC01,Espejo Mediano,,,Unidad,2.0
SKU-E0DA16F501,Espejo Pequeño,,,Unidad,6.0
SKU-2DF149588E,Esponja Merlin,,,Unidad,71.0
SKU-EE9347CD6F,Estuches de Plastico,,Cartuchera,Unidad,5.0
SKU-E9EF9D1B06,Fastener de Gusano,Artesco,,Unidad,18.0
SKU-CD28C46730,Fastener de metal,Artesco,,Unidad,95.0
SKU-80F3629E6F,Folder a color de cartulina,,Folder,Unidad,71.0
SKU-DAADE270A8,Folder doble tapa,,,unidad,3.0
SKU-807FCCA0D5,Folder Genius,,Folder,Unidad,0.0
SKU-5CE02680E1,Folder Manila A4,,Folder,Unidad,391.0
SKU-92E9FC0267,Folder Top,,Folder,Unidad,26.0
SKU-A95695902B,Folder Vinifan,,Folder,Unidad,2.0
SKU-67CEA9B1B6,forro artesco,Artesco,Forro Vinifan,unidad,6.0
SKU-86FCEA2F11,Forro Vinifan A4,Vinifan,Forro Vinifan,Unidad,0.0
SKU-CC0A8E99BA,Forro vinifan A4,Perufan,Forro Vinifan,Unidad,8.0
SKU-5CC706071A,Forro vinifan A4,Forrofan,Forro Vinifan,Unidad,8.0
SKU-610A957481,Forro Vinifan Grande OM,Perufan,Forro Vinifan,Unidad,0.0
SKU-AD04CF829D,Gancho Merly,,,Unidad,38.0
SKU-D2E3DF6E54,gancho picos de colores,,,Unidad,11.0
SKU-1046AB44A5,glitter de escarcha liquida x 6,,,unidad,6.0
SKU-AB321F3F5E,Globos,,,Unidad,200.0
SKU-F901C51CE7,Goma en barra 21Gr,Layconsa,Goma,Unidad,10.0
SKU-D8FC9604BF,Goma en barra 40g,Artesco,Goma,unidad,6.0
SKU-D740B5A41D,Goma en barra 40Gr,Faber Castell,Goma,Unidad,0.0
SKU-CF887E5EC4,Goma en barra 8 gr,Layconsa,Goma,unidad,28.0
SKU-6AFF87246E,goma en barra ranparente,,,unidad,3.0
SKU-83F6CC885D,Goma liquida 125g,Layconsa,Goma,unidad,23.0
SKU-BF27740F3E,Goma liquida 250g,Layconsa,Goma,unidad,15.0
SKU-E6ECA4BB2D,Goma Liquida Mar David 60gr,,Goma,Unidad,3.0
SKU-FEC4345327,Guantes,,,pares,8.0
SKU-CB6A706CAF,guillet,,,Cajitas,45.0
SKU-F06AE39D3D,Hizopo,,,Unidad,11.0
SKU-C74ADF4922,Hojas de color 100 und,,,unidad,0.0
SKU-3702ECA90D,Imperdible Amarillo Pequeño,,,Unidad,12.0
SKU-D937B9BE42,Imperdible Blanco,,,Unidad,130.0
SKU-26FF8F2A26,Jabon liquido grande,,,Unidad,25.0
SKU-C2A71FB517,Jabon liquido pequeño,,,Unidad,16.0
